id;best;worst;avg
1;327.0;495.0;400.69666666666666
2;327.0;458.0;372.47333333333336
3;327.0;430.0;350.87666666666667
4;315.0;417.0;332.06666666666666
5;315.0;335.0;326.62666666666667
6;315.0;327.0;325.42
7;315.0;327.0;321.4166666666667
8;315.0;327.0;315.81
9;315.0;315.0;315.0
10;315.0;315.0;315.0
11;315.0;341.0;315.08666666666664
12;315.0;344.0;315.1666666666667
13;315.0;332.0;315.0566666666667
14;315.0;315.0;315.0
15;315.0;315.0;315.0
16;315.0;315.0;315.0
17;315.0;315.0;315.0
18;315.0;319.0;315.0133333333333
19;315.0;331.0;315.11
20;315.0;315.0;315.0
21;315.0;315.0;315.0
22;315.0;331.0;315.05333333333334
23;315.0;315.0;315.0
24;315.0;335.0;315.06666666666666
25;315.0;315.0;315.0
26;305.0;321.0;314.9866666666667
27;305.0;315.0;314.8
28;303.0;324.0;313.83
29;303.0;339.0;310.5
30;302.0;315.0;305.11333333333334
31;302.0;315.0;304.22
32;302.0;336.0;302.98
33;302.0;305.0;302.2266666666667
34;301.0;304.0;302.0
35;301.0;306.0;301.99666666666667
36;301.0;318.0;301.97
37;301.0;302.0;301.6766666666667
38;301.0;304.0;301.1333333333333
39;295.0;303.0;300.99
40;295.0;302.0;300.93666666666667
41;293.0;301.0;300.43333333333334
42;293.0;325.0;298.7033333333333
43;293.0;321.0;295.2733333333333
44;293.0;335.0;293.98333333333335
45;293.0;321.0;293.19
46;293.0;324.0;293.3833333333333
47;293.0;302.0;293.0833333333333
48;293.0;302.0;293.0733333333333
49;293.0;321.0;293.21666666666664
50;293.0;310.0;293.0566666666667
51;293.0;302.0;293.0733333333333
52;293.0;322.0;293.20666666666665
53;293.0;302.0;293.03
54;293.0;314.0;293.1333333333333
55;293.0;295.0;293.00666666666666
56;293.0;329.0;293.21666666666664
57;293.0;311.0;293.09
58;293.0;329.0;293.3566666666667
59;293.0;302.0;293.06666666666666
60;293.0;296.0;293.01
61;293.0;324.0;293.1666666666667
62;293.0;310.0;293.06666666666666
63;293.0;317.0;293.08666666666664
64;293.0;302.0;293.0466666666667
65;291.0;316.0;293.12
66;291.0;306.0;293.04333333333335
67;291.0;318.0;292.97333333333336
68;291.0;327.0;292.30333333333334
69;291.0;316.0;291.2266666666667
70;291.0;291.0;291.0
71;291.0;315.0;291.1566666666667
72;291.0;320.0;291.17333333333335
73;291.0;321.0;291.1
74;291.0;296.0;291.01666666666665
75;291.0;327.0;291.12666666666667
76;291.0;309.0;291.0933333333333
77;291.0;291.0;291.0
78;291.0;291.0;291.0
79;291.0;323.0;291.18
80;291.0;321.0;291.16333333333336
81;291.0;321.0;291.17
82;291.0;291.0;291.0
83;291.0;291.0;291.0
84;291.0;317.0;291.09
85;291.0;291.0;291.0
86;291.0;291.0;291.0
87;291.0;314.0;291.12
88;291.0;316.0;291.12666666666667
89;291.0;291.0;291.0
90;291.0;329.0;291.24666666666667
91;291.0;300.0;291.08666666666664
92;291.0;323.0;291.2133333333333
93;291.0;321.0;291.1533333333333
94;291.0;300.0;291.03
95;291.0;318.0;291.17333333333335
96;289.0;322.0;291.0966666666667
97;289.0;308.0;291.0366666666667
98;289.0;291.0;290.9066666666667
99;289.0;316.0;290.62333333333333
100;289.0;307.0;289.55
